category,topic
2-LETTER RESPONSES,Word Play
CASEY AT THE BAT,Literature & Philosophy
TV,TV & Film
LEWIS OR CLARK,Word Play
ASIA LOVES THAT AMERICAN BRAND,Food & Culture
"DO NOT PASS ""O""",Word Play
GEOGRAPHIC TERMS,Geography
IT'S A FACT,Misc
CIVIL WAR NAMES,History & Politics
FOREIGN WORDS & PHRASES,Languages
ART & MYTHOLOGY,Art & Architecture
"HELLO, CLEVELAND!",Music & Theater
MAMMALS,Science & Math
ON THE JOB,Misc
NAME THAT SPEECHMAKER,History & Politics
BASEBALL TIMELINE,Sports & Games
"JOHN, IN HIS OWN WRITE",Literature & Philosophy
COMPLETES THE LICENSE PLATE,Geography
THE AMERICAN HERITAGE DICTIONARY PAGE 1004,Languages
WORDS IN HALLOWEEN,Word Play
HERE'S TO THE IRISH,Misc
WORLD EXPLORATION,History & Politics
THINKING,Literature & Philosophy
OUTSIDE,Misc
THE BOX,Word Play
THE CONSTITUTIONAL CONVENTION,History & Politics
A YEAR IN THE LIFE,History & Politics
"""OO"" WHAT'S THAT?",Word Play
LONG SONGS,Music & Theater
WORLD CAPITAL ATTRACTIONS,Geography
RUNNING,Misc
WITH SCISSORS,Misc
LITERARY AWARDS,Literature & Philosophy
GODLY EXPRESSIONS,Literature & Philosophy
FOOD STUFF,Food & Culture
WE'VE GOT TO STOP MEETING LIKE THIS,History & Politics
MOVIES: WHO PLAYED 'EM?,TV & Film
"""G"", I LOVE SCIENCE",Science & Math
CABINET DEPARTMENTS,History & Politics
WHO WROTE THESE KIDS' BOOKS?,Literature & Philosophy
SUMMER 2012,History & Politics
U.S. GEOGRAPHY,Geography
SIDE DISHES,Food & Culture
GREAT NAMES IN COLLEGE FOOTBALL,Sports & Games
RHYME FIGHTER,Word Play
"""NEA""",Word Play
COMPOSERS,Music & Theater
EDUCATION NATION,Geography
"THE 1980s, QUICK!",History & Politics
LOVE & MARRIAGE,Misc
HORSE & CARRIAGE,Misc
PLAYS,Music & Theater
"TAKING A ""TEN"" DANCE",Word Play
BOOK OF THE CENTURY,Literature & Philosophy
COLOR MY WORLD,Word Play
CIVICS,History & Politics
NETWORK INITIALS,TV & Film
THE CULTURE OF VIETNAM,Food & Culture
TEACHERS IN THE MOVIES,TV & Film
THE AMERICAN REVOLUTION,History & Politics
STARTS WITH A FARM ANIMAL,Word Play
WORLD CITIES,Geography
REMEMBER BOOKSTORES?,Misc
ELEMENTAL SYMBOLS,Science & Math
DISASTERS,History & Politics
WHERE'S THAT?,Geography
FILL IN THE QUOTE,History & Politics
JEOPARDY! ENNUI,Misc
50 YEARS OF JAMES BOND FILMS,TV & Film
BUSINESS IS GOOD,Misc
"""RE""-CESS",Word Play
FIZZ ED,Science & Math
DOUBLE-TALK NAMES,Word Play
CLEOPATRA,HIstory & Politics
TOUGH 2-LETTER WORDS,Word Play
RUSSIAN NOVELISTS,Literature & Philosophy
WEIRDPODGE,Misc
U.S. CITIES,Geography
ROBOTS & CYBORGS,TV & Film
9-LETTER WORDS,Word Play
A YEAR TO REMEMBER,History & Politics
SMALLER THAN A BREADBOX,Misc
20th CENTURY LITERATURE,Literature & Philosophy
F.H.,Word Play
NATIVE AMERICANS,History & Politics
NAME THAT BIBLE BOOK,Literature & Philosophy
LAWRENCE OF ARABIA,History & Politics
TEACHER'S PET,Misc
ALWAYS WITH THE HAND RAISED,Misc
"A 4 ""O"" AVERAGE",Misc
BORN & DIED,History & Politics
BODY LANGUAGE,Misc
YOU'RE HISTORY!,History & Politics
SITCOMEDY,TV & Film
BRUSH UP YOUR SHAKESPEARE,Literature & Philosophy
ORGANIZATIONS,Misc
"""P"" IS FOR FASHION",Word Play
"""MON"" DAY",Word Play
TWO'S DAY,Word Play
HUMP DAY,Science & Math
THOR'S DAY,Literature & Philosophy
FRY DAY,Food & Culture
WEAK END,TV & Film
NATIONAL SONGS,Music & Theater
AMERICAN MOVIE IDOL,TV & Film
5 SHADES OF GR(E/A)Y,Word Play
MY PHONE CAN DO THAT,Misc
ANAGRAMMED U.S. CITIES,Word Play
THE MAYA,History & Politics
"""TW"", EH?",Word Play
FUN WITH SCIENCE,Science & Math
TEACH ME A SONG,Music & Theater
F. SCOTT FITZGERALD,Literature & Philosophy
THE MAP OF EUROPE,Geography
VERB-AL NAMES,Word Play
BEFORE & AFTER,Word Play
U.S. PRESIDENTS,History & Politics
EDUCATION ABBREVIATION,Misc
QUICK HISTORY,HIstory & Politics
APPROXIMATE WEIGHTS & MEASURES,Science & Math
"CROSSWORD CLUES ""A""",Word Play
THE JUNIOR VARSITY,History & Politics
"2 PEOPLE, SAME POSITION",Sports & Games
KNOW YOUR BOUNDARIES,Geography
LEADING INTO THE SONG TITLE,Music & Theater
ESSAYS,Literature & Philosophy
"GET ""REAL""!",Word Play
SYSTEMS OF THE BODY,Science & Math
SAMURAI: THE WARRIOR TRANSFORMED,Food & Culture
MATH MEN,Science & Math
SOLVE FOR x,Science & Math
IN 1867...,History & Politics
WHICH PART OF SPEECH?,Languages
YOU WILL BE TESTED ON THIS,Misc
TV CV,TV & Film
WITTY LINES,TV & Film
HERB & SPICE HISTORY,History & Politics
CELEBRITY SIBLING SURNAMES,Misc
AROUND THE MEDITERRANEAN,Geography
"""PRO""s & ""CON""s",Word Play
GEOLOGY,Science & Math
JOHN GREENLEAF WHITTIER LINES,Literature & Philosophy
EUROPEAN AUTHORS,Literature & Philosophy
CHARLES DISCHARGED,History & Politics
WHAT'S YOUR SIGN?,Misc
CONTAINERS,Misc
"""XO""",Word Play
ONE-WORD NO. 1 HITS,Music & Theater
CHICAGO THE BEAUTIFUL,Geography
THE BOOK OF NUMBERS,Literature & Philosophy
TIME SPAN LANGUAGE,Languages
BLACK'S LAW DICTIONARY DEFINITIONS,Languages
THE GREAT PRETENDERS,History & Politics
JULIA ROBERTS MOVIE BY ROLE,TV & Film
"""P"" COUNTRY",Geography
PLACE NAMES,Geography
"LIONS & TIGERS & BEARS, OH MY!",Misc
CLASSIC AD SLOGANS,TV & Film
"A BUNCH OF ""S.B.""",Word Play
STARS OF THE OLDEN SCREEN,TV & Film
